date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:42:42	559/559	---M--	200	added ('OK')	text/plain	etag:W/%2222f-n8n0dSTYuHnE4quoKj8DhSZQJOs%22	https://www.awe2m8.ai/robots.txt		(from )
14:42:43	733663/733663	---MCZ	200	added ('OK')	text/html	etag:W/%221d2e0379d803c282b648d24dc7861449%22	https://www.awe2m8.ai/	/Users/gilesparnell/Documents/awe2m8-download/www.awe2m8.ai/index.html	(from )
14:42:43	2211/2211	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Oct%202025%2003:42:43%20GMT	https://www.awe2m8.ai/c	/Users/gilesparnell/Documents/awe2m8-download/www.awe2m8.ai/c	(from https://www.awe2m8.ai/)
14:42:44	2211/2211	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Oct%202025%2003:42:44%20GMT	https://www.awe2m8.ai/t	/Users/gilesparnell/Documents/awe2m8-download/www.awe2m8.ai/t	(from https://www.awe2m8.ai/)
14:42:46	566041/566041	---MCZ	200	added ('OK')	text/html	etag:W/%22f288eddf2902b3eacacdab2ace2d667a%22	https://www.awe2m8.ai/about	/Users/gilesparnell/Documents/awe2m8-download/www.awe2m8.ai/about.html	(from https://www.awe2m8.ai/)
14:42:47	605045/605045	---MCZ	200	added ('OK')	text/html	etag:W/%2288b64a95f2748611ec57f2d44c506cc8%22	https://www.awe2m8.ai/solutions	/Users/gilesparnell/Documents/awe2m8-download/www.awe2m8.ai/solutions.html	(from https://www.awe2m8.ai/)
14:42:48	702312/702312	---MCZ	200	added ('OK')	text/html	etag:W/%22e02771fffae92baf8e49b3d885bd0167%22	https://www.awe2m8.ai/contact	/Users/gilesparnell/Documents/awe2m8-download/www.awe2m8.ai/contact.html	(from https://www.awe2m8.ai/)
14:42:49	2211/2211	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Oct%202025%2003:42:49%20GMT	https://www.awe2m8.ai/api/	/Users/gilesparnell/Documents/awe2m8-download/www.awe2m8.ai/api/index.html	(from https://www.awe2m8.ai/)
14:42:49	241/241	---M--	200	added ('OK')	text/xml	etag:W/%22f1-+av37jz5rMqeWtCcSMr/pyX9vmY%22	https://www.awe2m8.ai/sitemap.xml	/Users/gilesparnell/Documents/awe2m8-download/www.awe2m8.ai/sitemap.xml	(from https://www.awe2m8.ai/)
14:42:50	2211/2211	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Oct%202025%2003:42:49%20GMT	https://www.awe2m8.ai/envelope/	/Users/gilesparnell/Documents/awe2m8-download/www.awe2m8.ai/envelope/index.html	(from https://www.awe2m8.ai/)
14:42:50	2211/2211	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Oct%202025%2003:42:50%20GMT	https://www.awe2m8.ai/feed.xml	/Users/gilesparnell/Documents/awe2m8-download/www.awe2m8.ai/feed.xml	(from https://www.awe2m8.ai/)
14:42:51	2208/2208	---MCZ	400	error ('Bad%20Request')	text/html	date:Wed,%2015%20Oct%202025%2003:42:51%20GMT	https://www.awe2m8.ai/decodeURIComponent(e	/Users/gilesparnell/Documents/awe2m8-download/www.awe2m8.ai/decodeURIComponent(e	(from https://www.awe2m8.ai/)
